year,month,day,open,high,low,close,vol
2006,07,27,387.37,387.49,377.95,382.32,5439102
2006,07,28,382,389.56,381.73,387.89,3978737
2006,07,31,388,389.17,383.31,385.78,3955639
2006,08,01,385.11,385.77,376,376.09,5216683
2006,08,02,375.6,377.17,365.2,367.09,6754092
2006,08,03,364.98,377.91,363.36,375.28,6209946
2006,08,04,379.56,380.68,371.75,373.05,4846750
2006,08,07,371.15,379.73,371.15,377.26,3712442
2006,08,08,382.81,384.5,379.09,381.17,5503115
2006,08,09,383.71,384.68,376.36,376.98,4146931
2006,08,10,374.36,377.67,372.46,373.98,4091842
2006,08,11,374.4,375.28,368.02,368.16,3626903
2006,08,14,371.5,375.13,368.67,369.68,4834517
2006,08,15,373.92,381.67,372.6,380.55,6404788
2006,08,16,383.61,388.45,382.12,387.42,5569650
2006,08,17,386.7,390,383.92,385.8,4912501
2006,08,18,386.31,387.09,380.75,383.05,4804509
2006,08,21,378.05,379,375.22,377.44,3686073
2006,08,22,377.73,379.26,374.84,378.25,4043829
2006,08,23,377.64,378.27,372.66,373.29,3461665
2006,08,24,374.44,376.4,372.26,373.65,3376271
2006,08,25,373.08,375.32,372.5,373.3,2318660
2006,08,28,375.61,380.8,375,380.77,3973846
2006,08,29,380.5,382.32,377.2,379.43,3500197
2006,08,30,379.21,384.65,378.51,380.76,3833262
2006,08,31,381.49,382.15,378.31,378.32,2689899
2006,09,01,381.04,381.29,377.19,378.6,2492989
2006,09,05,379.87,385.4,377.44,384.5,3979997
2006,09,06,382.1,383.19,379.66,380.03,3627781
2006,09,07,379.39,381.75,377.4,378.5,3536454
2006,09,08,377.12,380.79,376.72,377.7,2945926
2006,09,11,378.4,384.69,377.77,384,4312817
2006,09,12,385,392.73,384.88,391.97,5263425
2006,09,13,395.15,406.68,395.1,406.61,9378882
2006,09,14,404.2,406.28,401.93,403.91,5040326
